2024-12-07 14:20:38,565 | INFO | banned_words_strategy:__init__ - Banned words loaded successfully.
2024-12-07 14:20:38,565 | INFO | sql_injection_strategy:__init__ - SQL injection patterns initialized.
2024-12-07 14:20:38,575 | INFO | database_manager:__init__ - Initializing DatabaseManager for table: products_profile
2024-12-07 14:20:38,576 | INFO | decorators_class:new_init - The data was instantiated as a subscriber of events: ['PurchaseProductEvent']
2024-12-07 14:20:38,576 | INFO | event_manager:subscribe - Created new subscriber list for event PurchaseProductEvent
2024-12-07 14:20:38,576 | INFO | event_manager:subscribe - Subscriber added to event PurchaseProductEvent
2024-12-07 14:20:38,576 | INFO | decorators_class:new_init - Subscribed to event PurchaseProductEvent
2024-12-07 14:20:38,576 | INFO | database_manager:__init__ - Initializing DatabaseManager for table: users_profile
2024-12-07 14:20:38,576 | INFO | database_manager:__init__ - Initializing DatabaseManager for table: vending_machines_profile
2024-12-07 14:20:38,576 | INFO | database_manager:__init__ - Initializing DatabaseManager for table: owners_profile
2024-12-07 14:20:38,576 | INFO | database_manager:__init__ - Initializing DatabaseManager for table: product_complaint
2024-12-07 14:20:38,576 | INFO | database_manager:__init__ - Initializing DatabaseManager for table: product_comment
2024-12-07 14:20:38,576 | INFO | database_manager:__init__ - Initializing DatabaseManager for table: purchase_transaction
2024-12-07 14:20:38,576 | INFO | decorators_class:new_init - The data was instantiated as a publisher of events: ['PurchaseProductEvent']
2024-12-07 14:20:38,576 | INFO | database_manager:__init__ - Initializing DatabaseManager for table: vending_machine_complaint
2024-12-07 14:20:38,576 | INFO | database_manager:__init__ - Initializing DatabaseManager for table: vending_machine_comment
2024-12-07 14:20:38,577 | INFO | database_manager:__init__ - Initializing DatabaseManager for table: favorite_vending_machines
2024-12-07 14:20:38,577 | INFO | database_manager:__init__ - Initializing DatabaseManager for table: favorite_products
2024-12-07 14:20:38,577 | ERROR | database_manager_central:add_product_quantity - Error adding quantity to product: The quantity to be added must be greater than zero.
2024-12-07 14:20:38,577 | INFO | test_database_manager_central:test_add_product_quantity_invalid_quantity - Test add_product_quantity_invalid_quantity: OK!!! ---------------------------> TEST 11 OK!!!
2024-12-07 14:20:38,578 | ERROR | database_manager_central:add_product_quantity - Error adding quantity to product: Product not found.
2024-12-07 14:20:38,578 | INFO | test_database_manager_central:test_add_product_quantity_not_found - Test add_product_quantity_not_found: OK!!! ---------------------------> TEST 12 OK!!!
2024-12-07 14:20:38,579 | INFO | database_manager_central:add_product_quantity - Product quantity 'Product A' (ID: 123) increased from 50 to 70.
2024-12-07 14:20:38,579 | INFO | test_database_manager_central:test_add_product_quantity_success - Test add_product_quantity_success: OK!!! ---------------------------> TEST 10 OK!!!
